,data,scontrini,lordototale,ristorante,città,day,festività
0,2019-09-01,1128.0,43535.8994,R000,Montebello,Sunday,
1,2019-09-02,600.0,22753.822,R000,Montebello,Monday,
2,2019-09-03,681.0,23561.0718,R000,Montebello,Tuesday,
3,2019-09-04,732.0,26180.0287,R000,Montebello,Wednesday,
4,2019-09-05,773.0,27926.4818,R000,Montebello,Thursday,
5,2019-09-06,1047.0,36713.387200000005,R000,Montebello,Friday,
6,2019-09-07,1273.0,46133.9172,R000,Montebello,Saturday,
7,2019-09-08,1092.0,45034.8416,R000,Montebello,Sunday,
8,2019-09-09,716.0,26511.0482,R000,Montebello,Monday,
9,2019-09-10,687.0,26635.196,R000,Montebello,Tuesday,
10,2019-09-11,670.0,23862.0249,R000,Montebello,Wednesday,
11,2019-09-12,608.0,22867.1905,R000,Montebello,Thursday,
12,2019-09-13,878.0,31954.223,R000,Montebello,Friday,
13,2019-09-14,1230.0,48886.6861,R000,Montebello,Saturday,
14,2019-09-15,1104.0,42850.1129,R000,Montebello,Sunday,
15,2019-09-16,492.0,17751.2356,R000,Montebello,Monday,
16,2019-09-17,580.0,19030.1727,R000,Montebello,Tuesday,
17,2019-09-18,610.0,21301.6727,R000,Montebello,Wednesday,
18,2019-09-19,728.0,23893.7433,R000,Montebello,Thursday,
19,2019-09-20,864.0,31695.0242,R000,Montebello,Friday,
20,2019-09-21,1202.0,46562.5699,R000,Montebello,Saturday,
21,2019-09-22,1037.0,42060.9938,R000,Montebello,Sunday,
22,2019-09-23,484.0,17323.4915,R000,Montebello,Monday,
23,2019-09-24,473.0,17643.773,R000,Montebello,Tuesday,
24,2019-09-25,494.0,18163.1205,R000,Montebello,Wednesday,
25,2019-09-26,493.0,17483.611599999997,R000,Montebello,Thursday,
26,2019-09-27,806.0,29415.3881,R000,Montebello,Friday,
27,2019-09-28,1186.0,46521.7655,R000,Montebello,Saturday,
28,2019-09-29,1071.0,41901.9888,R000,Montebello,Sunday,
29,2019-09-30,447.0,14922.8877,R000,Montebello,Monday,
30,2019-10-01,457.0,16554.692,R000,Montebello,Tuesday,
31,2019-10-02,461.0,17089.2792,R000,Montebello,Wednesday,
32,2019-10-03,511.0,18604.3697,R000,Montebello,Thursday,
33,2019-10-04,731.0,26670.714,R000,Montebello,Friday,
34,2019-10-05,1174.0,46057.0992,R000,Montebello,Saturday,
35,2019-10-06,1075.0,42094.1577,R000,Montebello,Sunday,
36,2019-10-07,471.0,17471.965,R000,Montebello,Monday,
37,2019-10-08,467.0,19039.0935,R000,Montebello,Tuesday,
38,2019-10-09,520.0,18731.9454,R000,Montebello,Wednesday,
39,2019-10-10,532.0,18322.1255,R000,Montebello,Thursday,
40,2019-10-11,832.0,30182.0813,R000,Montebello,Friday,
